STATE,COMPANY,CITY,NUMBER_OF_WORKERS,WARN_RECEIVED_DATE,EFFECTIVE_DATE,CLOSURE_LAYOFF,LAYOFFDURATION,REGION,COUNTY,INDUSTRY
North Carolina,Southern Veneer Specialty Products,Moncure,130,2025-10-06 00:00:00,2025-12-05 00:00:00,closure,permanent,Northern,Chatham,Manufacturing
Virginia,"Wellmore Energy, LLC (Paw Paw 2 South)",Rock,95,2025-10-06 00:00:00,2025-12-06 00:00:00,layoff,temporary,Western,Rock County,Professional Services
Tennessee,Wellpath,Nashville,91,2025-10-06 00:00:00,2025-11-07 00:00:00,closure,permanent,Northern,Davidson,Healthcare & Social Assistance
California,"SAP America, Inc.",Hillview,82,2025-10-06 00:00:00,2025-11-21 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Virginia,"Home Care Delivered, Inc.",Allen,73,2025-10-06 00:00:00,2025-12-10 00:00:00,layoff,temporary,Central,Allen County,Healthcare
California,Paramount Global (1575),Gower,65,2025-10-06 00:00:00,2025-08-09 00:00:00,layoff,temporary,Northern,Los Angeles County,"Arts, Entertainment & Recreation"
California,Paramount Global (5555),Melrose,49,2025-10-06 00:00:00,2025-08-09 00:00:00,layoff,temporary,Northern,Los Angeles County,"Arts, Entertainment & Recreation"
Virginia,"Wellmore Energy Company, LLC",Rock,12,2025-10-06 00:00:00,2025-12-06 00:00:00,layoff,temporary,Western,Rock County,Professional Services
Virginia,"Wellmore Energy Company, LLC",Grundy,8,2025-10-06 00:00:00,2025-12-06 00:00:00,layoff,temporary,Western,Grundy County,Professional Services
Virginia,"Wellmore Energy Company, LLC",Grundy,2,2025-10-06 00:00:00,2025-12-06 00:00:00,layoff,temporary,Western,Grundy County,Professional Services
North Carolina,"SimplyIOA, LLC",Fl,2,2025-10-06 00:00:00,2025-12-02 00:00:00,closure,permanent,Northern,Fl County,Professional Services
Washington,"SimplyIOA, LLC",Olympia,1,2025-10-06 00:00:00,2025-12-02 00:00:00,closure,permanent,Northern,Olympia County,Professional Services
Virginia,"Wellmore Energy Company, LLC (Elk Creek Surface)",Hurley,1,2025-10-06 00:00:00,2025-12-06 00:00:00,layoff,temporary,Western,Hurley County,Professional Services
Kentucky,Akebono Brake Corporation,Louisville,450,2025-10-03 00:00:00,2026-12-31 00:00:00,closure,temporary,Lincoln Trail,Hardin,Manufacturing
Hawaii,Panda Restaurant Group dba Raising Cane's,Kahului,440,2025-10-03 00:00:00,2025-10-04 00:00:00,other,temporary,Northern,Kahului County,Accommodation & Food Services
Washington,Starbucks,Various,338,2025-10-03 00:00:00,2025-12-05 00:00:00,closure,permanent,Northern,King,Accommodation & Food Services
California,Manna Beverages MBV-CA LLC - 1226,North Olive,245,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,Orange County,Wholesale Trade
California,Manna Beverages MBV-CA LLC 2286,Stone,237,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,Yolo County,Wholesale Trade
Illinois,Virgin Hotels Chicago,Chicago,180,2025-10-03 00:00:00,2025-12-15 00:00:00,layoff,permanent,Northeast 4,Cook,Other Services
California,Amazon,W Imperial,173,2025-10-03 00:00:00,2026-01-06 00:00:00,closure,temporary,Northern,Orange County,Wholesale Trade
Virginia,Sentara Health,Beach,127,2025-10-03 00:00:00,2025-12-05 00:00:00,layoff,temporary,Eastern,Beach County,Healthcare
California,Amazon,Whittier,126,2025-10-03 00:00:00,2026-01-06 00:00:00,closure,temporary,Northern,Los Angeles County,Wholesale Trade
North Carolina,Packaging Corporation of America (PCA),Salisbury,108,2025-10-03 00:00:00,2025-12-19 00:00:00,closure,permanent,Northern,Rowan,Manufacturing
California,Amazon,Foothill,107,2025-10-03 00:00:00,2026-01-06 00:00:00,closure,temporary,Northern,Los Angeles County,Wholesale Trade
California,Manna Beverages MBV-CA LLC 3600,West Sacramento,98,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,Yolo County,Wholesale Trade
California,ZOLL Medical Corporation,Bird Center,96,2025-10-03 00:00:00,2025-12-15 00:00:00,closure,temporary,Northern,Riverside County,Manufacturing
Virginia,Peraton,Reston,92,2025-10-03 00:00:00,2025-12-05 00:00:00,layoff,temporary,Northern,Reston County,Information
Florida,"AVMed, Sentara Health",Doral,80,2025-10-03 00:00:00,2025-10-03 00:00:00,layoff,permanent,Northern,Doral County,Healthcare & Social Assistance
California,Manna Beverages MBV-CA LLC - 2150,Stone,25,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,Yolo County,Wholesale Trade
California,University of Southern California,Trousdale,21,2025-10-03 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Los Angeles County,Education
California,Indian Health Center of Santa Clara Valley,Ca,21,2025-10-03 00:00:00,2025-12-31 00:00:00,closure,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Manna Beverages MBV-CA LLC 3685,West Sacramento,18,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,Yolo County,Wholesale Trade
California,Manna Beverages MBV-CA LLC 6725,Kimball,15,2025-10-03 00:00:00,2025-10-07 00:00:00,closure,temporary,Northern,San Bernardino County,Wholesale Trade
Missouri,Hollister,Kirksville,5,2025-10-03 00:00:00,2025-10-03 00:00:00,closure,temporary,Northeast,Adair,Healthcare & Social Assistance
Virginia,SimplyIOA LLC,Spotsylvania,1,2025-10-03 00:00:00,2025-12-02 00:00:00,closure,temporary,Eastern,Spotsylvania County,Professional Services
Michigan,"SimplyIOA, LLC",Flint,1,2025-10-03 00:00:00,2025-12-02 00:00:00,closure,permanent,Northern,Genesee,Professional Services
California,Adventist Health Sonora,Rd Sonora,1,2025-10-03 00:00:00,2025-10-10 00:00:00,layoff,temporary,Northern,Tuolumne County,Healthcare & Social Assistance
Connecticut,PosiGen Developer LLC,Wethersfield,85,2025-10-03 00:00:00,2025-10-03 00:00:00,closure,temporary,Northern,Wethersfield County,Professional Services
California,Advanced Pressure Technology,Technology,237,2025-10-02 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Napa County,Manufacturing
California,Dart Container Corporation,Maple,171,2025-10-02 00:00:00,2026-02-27 00:00:00,closure,temporary,Northern,Riverside County,Manufacturing
California,Amazon,Crown Valley,149,2025-10-02 00:00:00,2026-01-06 00:00:00,closure,temporary,Northern,Orange County,Wholesale Trade
Florida,ID Logistics,Petersburg,119,2025-10-02 00:00:00,2025-10-02 00:00:00,layoff,permanent,Northern,Petersburg County,Transportation & Warehousing
Kentucky,HJI Supply Chain Solutions,Louisville,117,2025-10-02 00:00:00,2025-12-31 00:00:00,closure,temporary,Kentuckiana Works,Jefferson,Information
Florida,ID Logistics,Petersburg,55,2025-10-02 00:00:00,2025-10-02 00:00:00,layoff,permanent,Northern,Petersburg County,Transportation & Warehousing
Ohio,Sirna & Sons Produce,Norwalk,45,2025-10-02 00:00:00,2025-12-02 00:00:00,layoff,permanent,Northern,Huron,"Agriculture, Forestry, Fishing & Hunting"
Colorado,TIAA,Louisville,31,2025-10-02 00:00:00,2025-10-02 00:00:00,closure,temporary,Denver,nan County,Finance & Insurance
California,"Monroe Operations, LLC dba Newport Academy",Johnston,28,2025-10-02 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,"Monroe Operations, LLC dba Newport Academy",Von Karman,27,2025-10-02 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Orange County,Healthcare & Social Assistance
Georgia,"CoStar Realty Realty Information, Inc",Atlanta,6,2025-10-02 00:00:00,2025-10-02 00:00:00,layoff,temporary,Northern,Fulton,Information
Georgia,Americold Logistics,Atlanta,4,2025-10-02 00:00:00,2025-12-01 00:00:00,layoff,temporary,Northern,Fulton,Transportation & Warehousing
California,"Oracle America, Inc.",Redwood City,4,2025-10-02 00:00:00,2025-11-10 00:00:00,layoff,temporary,Northern,San Mateo County,Professional Services
California,"Oracle America, Inc.",Owens,1,2025-10-02 00:00:00,2025-11-05 00:00:00,layoff,temporary,Northern,Alameda County,Professional Services
Kentucky,Martinrea Heavy Stamping,Louisville,276,2025-10-01 00:00:00,2025-12-05 00:00:00,closure,temporary,Kentuckiana Works,Shelby,Manufacturing
Washington,Manson Growers Orchard Services,Manson,257,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,permanent,Northern,Manson County,Professional Services
Pennsylvania,"Fourth Street Barbecue, Inc.",Charleroi,252,2025-10-01 00:00:00,2025-10-01 00:00:00,closure,temporary,WOW,Washington,Accommodation & Food Services
Pennsylvania,"Respironics, Inc.",Murrysville,196,2025-10-01 00:00:00,2025-10-01 00:00:00,layoff,temporary,Northern,Westmoreland,Healthcare & Social Assistance
Pennsylvania,"Peraton, Inc.",Hil,153,2025-10-01 00:00:00,2025-12-13 00:00:00,layoff,temporary,Northern,Cumberland,Manufacturing
Illinois,"Acero Charter Schools, Inc. (at five Chicago elementary schools)",Chicago,152,2025-10-01 00:00:00,2026-06-10 00:00:00,closure,permanent,Northeast 4,Cook,Education
Illinois,Chartwells at DePaul University,Chicago,138,2025-10-01 00:00:00,2025-11-30 00:00:00,closure,permanent,Northeast 4,Cook,Accommodation & Food Services
Pennsylvania,"Travel + Leisure Resort Development, Inc.",Philadelphia,124,2025-10-01 00:00:00,2025-12-31 00:00:00,closure,temporary,MS Partnership,Monroe,Accommodation & Food Services
Pennsylvania,"Morgan Truck Body, LLC",Ephrata,92,2025-10-01 00:00:00,2025-12-15 00:00:00,closure,temporary,Northern,Lancaster,Professional Services
North Carolina,Safeway Logistics LLC,Kinston,72,2025-10-01 00:00:00,2025-11-22 00:00:00,layoff,permanent,Northern,Lenoir,Transportation & Warehousing
California,Celestica Precision Machining Ltd,Circle Fremont,72,2025-10-01 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Alameda County,Manufacturing
Pennsylvania,Allen Distribution,Allentown,70,2025-10-01 00:00:00,2025-12-26 00:00:00,closure,temporary,Northern,Lehigh,Transportation & Warehousing
Washington,Farmers New World Life Insurance Company,Bellevue,65,2025-10-01 00:00:00,2025-10-01 00:00:00,layoff,permanent,Northern,Bellevue County,Finance & Insurance
California,Bicycle Transit Systems,W Jefferson,65,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Los Angeles County,Finance & Insurance
Washington,AgriNorthwest,Kennewick,62,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,permanent,Northern,Kennewick County,"Agriculture, Forestry, Fishing & Hunting"
Pennsylvania,Packaging Corporation of America,Allentown,60,2025-10-01 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Lehigh,Manufacturing
Illinois,Transform SR LLC,Manteno,59,2025-10-01 00:00:00,2025-11-30 00:00:00,closure,permanent,Northeast 4,Kankakee,Other Services
Pennsylvania,"Vifor Pharma, Inc.",Prussia,55,2025-10-01 00:00:00,2025-12-01 00:00:00,layoff,temporary,Northern,Montgomery,Healthcare
California,"FPI Management, Inc. (800)",Iron Point,50,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Sacramento County,Finance & Insurance
Pennsylvania,Chick-fil-A,Philadelphia,49,2025-10-01 00:00:00,2025-12-30 00:00:00,closure,temporary,Northern,Philadelphia,Accommodation & Food Services
California,"FPI Management, Inc. (1110)",Iron Point,39,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Sacramento County,Finance & Insurance
Iowa,UMB,Dubuque,38,2025-10-01 00:00:00,2025-11-01 00:00:00,layoff,temporary,Northeast Iowa,Dubuque,Finance & Insurance
Minnesota,Taylor Corp,Mankato,33,2025-10-01 00:00:00,2025-10-17 00:00:00,other,temporary,Northern,Mankato County,Manufacturing
Minnesota,Central MN Mental Health,Park,25,2025-10-01 00:00:00,2026-01-01 00:00:00,other,temporary,Prince George's,Park County,Healthcare & Social Assistance
Minnesota,Aljon Tool,Plymouth,25,2025-10-01 00:00:00,2025-10-30 00:00:00,closure,temporary,Northern,Plymouth County,Construction
Colorado,Newmont,Louisville,23,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,temporary,Denver,nan County,Mining
Maryland,"Bell Nursery USA, LLC",Marydel,21,2025-10-01 00:00:00,2025-11-28 00:00:00,closure,temporary,Upper Shore,Marydel County,Agriculture
Minnesota,Cuyuna Regional Med Ctr,Crosby,19,2025-10-01 00:00:00,2025-12-10 00:00:00,other,temporary,Northern,Crosby County,Healthcare & Social Assistance
California,"FPI Management, Inc. (Remote)",Remote Folsom,16,2025-10-01 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Sacramento County,Finance & Insurance
Minnesota,Hennen's Furniture,Willmar,12,2025-10-01 00:00:00,2025-12-15 00:00:00,closure,temporary,Northern,Willmar County,Retail
California,Cruise LLC,Bryant,12,2025-10-01 00:00:00,2025-09-30 00:00:00,layoff,temporary,Northern,San Francisco County,Transportation & Warehousing
Colorado,Amentum,Louisville,10,2025-10-01 00:00:00,2025-10-01 00:00:00,other,temporary,Pueblo,nan County,Professional Services
Washington,"Oracle America, Inc.",Seattle,4,2025-10-01 00:00:00,2025-11-03 00:00:00,layoff,permanent,Northern,Seattle County,Information
Minnesota,Gina Maria's Pizza,Prairie,1,2025-10-01 00:00:00,2025-10-05 00:00:00,closure,temporary,Northern,Prairie County,Accommodation & Food Services
Minnesota,Gina Maria's Pizza,Chanhassen,1,2025-10-01 00:00:00,2025-10-05 00:00:00,closure,temporary,Northern,Chanhassen County,Accommodation & Food Services
Minnesota,Gina Maria's Pizza,Plymouth,1,2025-10-01 00:00:00,2025-10-16 00:00:00,closure,temporary,Northern,Plymouth County,Accommodation & Food Services
Minnesota,Gina Maria's Pizza,Edina,1,2025-10-01 00:00:00,2025-10-16 00:00:00,closure,temporary,Northern,Edina County,Accommodation & Food Services
Minnesota,Central Appliance Recycler,Cloud,1,2025-10-01 00:00:00,2025-11-14 00:00:00,closure,temporary,Northern,Cloud County,Manufacturing
Minnesota,Farmstead Bike Shop,Minneapolis,1,2025-10-01 00:00:00,2025-11-29 00:00:00,closure,temporary,Northern,Minneapolis County,Retail
Minnesota,Osteria,Paul,1,2025-10-01 00:00:00,2025-10-18 00:00:00,closure,temporary,Northern,Paul County,Accommodation & Food Services
Minnesota,Mayo,Owatonna,85,2025-10-01 00:00:00,2025-10-01 00:00:00,closure,temporary,Northern,Owatonna County,Healthcare & Social Assistance
Minnesota,Mayo Belle Plaine Clinic,Plaine,85,2025-10-01 00:00:00,2025-10-01 00:00:00,closure,temporary,Northern,Plaine County,Healthcare & Social Assistance
Minnesota,Mayo Northridge,Mankato,85,2025-10-01 00:00:00,2025-10-01 00:00:00,closure,temporary,Northern,Mankato County,Healthcare & Social Assistance
Minnesota,Mayo Clinic Montgomery,Montgomery,85,2025-10-01 00:00:00,2025-10-01 00:00:00,closure,temporary,Northern,Montgomery County,Healthcare & Social Assistance
Minnesota,Mayo Clinic Caledonia,Caledonia,85,2025-10-01 00:00:00,2025-10-01 00:00:00,other,temporary,Northern,Caledonia County,Healthcare & Social Assistance
South Dakota,KBR [Earth Resources Observation & Science (EROS) Data Center],Falls,85,2025-10-01 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Falls County,Information
Pennsylvania,Oak View Group,Philadelphia,85,2025-10-01 00:00:00,2025-12-31 00:00:00,layoff,temporary,Northern,Philadelphia,Hospitality & Entertainment
Pennsylvania,Starbucks,Philadelphia,85,2025-10-01 00:00:00,2025-12-05 00:00:00,closure,temporary,Northern,Philadelphia,Accommodation & Food Services
California,Dreyer's Grand Ice Cream,Boulevard Bakersfield,726,2025-09-30 00:00:00,2025-11-23 00:00:00,layoff,temporary,Northern,Kern County,Wholesale Trade
Washington,BM Administrative Services,Various,268,2025-09-30 00:00:00,2025-11-30 00:00:00,layoff,permanent,Northern,King,Professional Services
Nebraska,ITC Federal,Lincoln,192,2025-09-30 00:00:00,2025-11-30 00:00:00,layoff,permanent,Northern,Lincoln County,Information
Illinois,"Industrial Container Services, LLC dba Mauser Packaging Solutions",Chicago,168,2025-09-30 00:00:00,2025-09-30 00:00:00,closure,permanent,Northeast 4,Northeast 4,Manufacturing
Ohio,MAHLE Thermal and Fluid Systems,Sterling,141,2025-09-30 00:00:00,2025-09-30 00:00:00,closure,permanent,Bluegrass,Madison,Information
Tennessee,DoubleTree by Memphis,Memphis,88,2025-09-30 00:00:00,2025-11-30 00:00:00,closure,permanent,Kentuckiana Works,Shelby,Accommodation & Food Services
North Carolina,"CNC Logistics, Inc.",Durham,75,2025-09-30 00:00:00,2025-09-26 00:00:00,closure,permanent,Northern,Durham,Transportation & Warehousing
Florida,Roll-N-Lock Corporation,Miami,73,2025-09-30 00:00:00,2025-09-30 00:00:00,closure,permanent,Northern,Miami County,Other Services
Florida,Spirit Airlines,Beach,70,2025-09-30 00:00:00,2025-09-30 00:00:00,layoff,temporary,Eastern,Beach County,Transportation & Warehousing
California,"Boardwalk Property Services, LLC",Washington,66,2025-09-30 00:00:00,2025-11-23 00:00:00,layoff,temporary,Northern,Napa County,Accommodation & Food Services
Illinois,"CNC Logistics, Inc.",Chicago,53,2025-09-30 00:00:00,2025-09-30 00:00:00,closure,permanent,Northeast 4,Northeast 4,Transportation & Warehousing
Oregon,Wells Fargo and Company,Portland,50,2025-09-30 00:00:00,2025-11-28 00:00:00,layoff,temporary,Northern,Portland County,Finance & Insurance
North Carolina,"Mativ Conwed, LLC",Wilson,50,2025-09-30 00:00:00,2025-12-01 00:00:00,closure,permanent,Northern,Wilson,Professional Services
California,"Sutro Biopharma, Inc.",Oyster Point,45,2025-09-30 00:00:00,2025-09-30 00:00:00,layoff,temporary,Northern,San Mateo County,Professional Services
Iowa,Wells Fargo,Moines,23,2025-09-30 00:00:00,2025-11-28 00:00:00,other,temporary,Central Iowa,Polk,Finance & Insurance
California,Google - 242,Court Sunnyvale,20,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,North State Public Radio (NSPR),Main,12,2025-09-30 00:00:00,2025-11-30 00:00:00,layoff,temporary,Northern,Butte County,Information
California,Google - 1265,Borregas,9,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"Sutro Biopharma, Inc.",San Carlos,8,2025-09-30 00:00:00,2025-09-30 00:00:00,layoff,temporary,Northern,San Mateo County,Professional Services
California,Google - 1190,Bordeaux,8,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Google -1160,Mathilda,4,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Google - 1195,Borregas,4,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Iowa,RTX,Rapids,2,2025-09-30 00:00:00,2025-10-31 00:00:00,layoff,temporary,East Central Iowa,Linn,Professional Services
California,Google - 237,Moffett Park,2,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"Sutro Biopharma, Inc.",Remote Remote,1,2025-09-30 00:00:00,2025-09-30 00:00:00,layoff,temporary,Northern,San Mateo County,Professional Services
California,Google -1225,Crossman,1,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Google - 244,Court Sunnyvale,1,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Google - 1175,Borregas,1,2025-09-30 00:00:00,2025-11-09 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Washington,"Agrimacs, Inc.",Chelan,1368,2025-09-29 00:00:00,2025-11-14 00:00:00,layoff,permanent,Northern,Chelan County,"Agriculture, Forestry, Fishing & Hunting"
Nevada,Spirit Airlines Inc.,Vegas,393,2025-09-29 00:00:00,2025-12-01 00:00:00,layoff,temporary,Bluegrass,Clark,Information
Washington,Walmart,Way,253,2025-09-29 00:00:00,2025-10-31 00:00:00,closure,permanent,Northern,Way County,Retail Trade
California,City of Hope,Rivergrade,140,2025-09-29 00:00:00,2025-11-25 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
North Carolina,"Solero Technologies Shelby, LLC",Shelby,102,2025-09-29 00:00:00,2026-03-31 00:00:00,layoff,permanent,Northern,Cleveland,Information
Alabama,Quest Diagnostics/Pack Health,Birmingham,98,2025-09-29 00:00:00,2025-11-28 00:00:00,closure,temporary,Northern,Birmingham County,Healthcare
Indiana,"GT Industries, Inc.",Vernon,95,2025-09-29 00:00:00,2025-12-01 00:00:00,layoff,temporary,Northern,Vernon County,Manufacturing
Missouri,Chase Smiles Logistics,Hazelwood,77,2025-09-29 00:00:00,2025-09-15 00:00:00,layoff,temporary,St. Louis County,St. Louis,Transportation & Warehousing
California,City of Hope,Duarte,56,2025-09-29 00:00:00,2025-11-25 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
California,University of Southern California,Trousdale,55,2025-09-29 00:00:00,2025-10-04 00:00:00,layoff,temporary,Northern,Los Angeles County,Education
California,"Avelo Airlines, Inc.",N Hollywood,38,2025-09-29 00:00:00,2025-10-21 00:00:00,closure,temporary,Northern,Los Angeles County,Transportation & Warehousing
California,GSK plc.,Illinois,8,2025-09-29 00:00:00,2025-09-29 00:00:00,layoff,temporary,Northern,San Francisco County,Professional Services
Washington,Kershaw Farm Labor Management,Yakima,539,2025-09-26 00:00:00,2025-11-25 00:00:00,layoff,permanent,Northern,Yakima County,Professional Services
Florida,MS Leisure Company,Miami,129,2025-09-26 00:00:00,2025-09-26 00:00:00,closure,permanent,Northern,Miami County,Other Services
Missouri,United BioSource LLC,City,123,2025-09-26 00:00:00,2025-11-26 00:00:00,closure,temporary,Kansas City & vicinity,Jackson,Other Services
Nevada,Carlos'n Charlie's,Vegas,79,2025-09-26 00:00:00,2025-11-18 00:00:00,closure,permanent,Bluegrass,Clark,Retail Trade
California,"GEP Administrative Services, LLC dba Entertainment Partners",Hollywood,61,2025-09-26 00:00:00,2025-12-01 00:00:00,layoff,temporary,Northern,Los Angeles County,Professional Services
Illinois,"Carolina Therapeutic Services dba CTS Health, Inc.",Chicago,33,2025-09-26 00:00:00,2025-09-26 00:00:00,layoff,temporary,Northeast 4,Northeast 4,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health Palo Alto Physical Therapy & Hand Therapy),Palo Alto,30,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health Fremont Physical Therapy & Hand Therapy),Kearney,24,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health Sunnyvale Physical Therapy 1085),Real Sunnyvale,23,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health San Carlos Physical Therapy & Hand Therapy),San Carlos,19,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,San Mateo County,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health Sunnyvale Center 401 Physical Therapy),San Francisco,16,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,"Avelo Airlines, Inc.",Boeing,11,2025-09-26 00:00:00,2025-11-18 00:00:00,closure,temporary,Northern,Humboldt County,Transportation & Warehousing
California,Agile Physical Therapy (Sutter Health Dublin Physical & Hand Therapy),Dublin,7,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,Warner Music Inc.,Santa Fe,6,2025-09-26 00:00:00,2025-11-24 00:00:00,layoff,temporary,Northern,Los Angeles County,Information
California,Agile Physical Therapy (Sutter Health Sunnyvale Center (301) Physical Therapy),San Francisco,4,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Agile Physical Therapy (Sutter Health Mountain View Center),Mountain View,1,2025-09-26 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
Florida,Spirit Airlines,Orlando,350,2025-09-25 00:00:00,2025-09-25 00:00:00,layoff,temporary,Northern,Orlando County,Transportation & Warehousing
Florida,Spirit Airlines,Lauderdale,309,2025-09-25 00:00:00,2025-09-25 00:00:00,layoff,temporary,Northern,Lauderdale County,Transportation & Warehousing
Oregon,Roseburg Forest Products; Dillard Hardwood Plywood,Dillard,107,2025-09-25 00:00:00,2025-09-25 00:00:00,closure,temporary,Northern,Dillard County,Manufacturing
Florida,Spirit Airlines,Miami,71,2025-09-25 00:00:00,2025-09-25 00:00:00,layoff,temporary,Northern,Miami County,Transportation & Warehousing
Oregon,Pacific Source,Springfield,56,2025-09-25 00:00:00,2025-12-31 00:00:00,layoff,temporary,Central,Springfield County,Healthcare & Social Assistance
Wisconsin,Action Printing (A JAL Equity Corp),Lac,44,2025-09-25 00:00:00,2025-08-07 00:00:00,closure,temporary,Fox Valley,Fond Du Lac,Other Services
Maryland,"Bell Nursery USA, LLC",Elkridge,42,2025-09-25 00:00:00,2025-09-26 00:00:00,closure,temporary,Howard County,Elkridge County,Wholesale Trade
Georgia,Spirit Airlines LLC,Atlanta,334,2025-09-24 00:00:00,2025-12-01 00:00:00,layoff,temporary,Northern,Fulton,Information
California,Dreyer's Grand Ice Cream's,Boulevard Bakersfield,214,2025-09-24 00:00:00,2025-11-23 00:00:00,closure,temporary,Northern,Kern County,Wholesale Trade
Ohio,TOPS Products,Logan,207,2025-09-24 00:00:00,2025-09-24 00:00:00,closure,permanent,Northern,Hocking,Manufacturing
California,Dreyer's Grand Ice Cream,Continental Tulare,188,2025-09-24 00:00:00,2025-11-24 00:00:00,layoff,temporary,Northern,Tulare County,Wholesale Trade
California,Dreyer's Grand Ice Cream's,Continental,110,2025-09-24 00:00:00,2025-11-24 00:00:00,closure,temporary,Northern,Tulare County,Wholesale Trade
California,"Point Quest, Inc.",Ca,100,2025-09-24 00:00:00,2025-09-22 00:00:00,layoff,temporary,Northern,Sacramento County,Education
California,"Point Quest, Inc.",Elk Grove,66,2025-09-24 00:00:00,2025-09-22 00:00:00,layoff,temporary,Northern,Sacramento County,Education
Illinois,Spirit Airlines (at O'Hare Airport),Chicago,64,2025-09-24 00:00:00,2025-09-24 00:00:00,layoff,temporary,Northeast 4,Northeast 4,Transportation & Warehousing
Michigan,Anderton Machining,Jackson,41,2025-09-24 00:00:00,2025-12-31 00:00:00,closure,permanent,Kansas City,Jackson,Manufacturing
California,"Valyria, LLC",Aviator,25,2025-09-24 00:00:00,2025-11-21 00:00:00,closure,temporary,Northern,Solano County,Wholesale Trade
Washington,"Gilbert Orchards, Inc.",Yakima,599,2025-09-23 00:00:00,2025-11-22 00:00:00,layoff,permanent,Northern,Yakima County,"Agriculture, Forestry, Fishing & Hunting"
Wisconsin,Sheridan Random Lake,Lake,104,2025-09-23 00:00:00,2025-11-21 00:00:00,closure,temporary,Bay Area,Sheboygan,Other Services
Connecticut,PerkinElmer U.S. LLC,Shelton,68,2025-09-23 00:00:00,2025-09-23 00:00:00,closure,permanent,Northern,Shelton County,Professional Services
Illinois,"CNC Logistics, Inc.",Palatine,57,2025-09-23 00:00:00,2025-09-23 00:00:00,closure,permanent,Northeast 4,Northeast 4,Transportation & Warehousing
Washington,"Darigold, Inc.",Chehalis,55,2025-09-23 00:00:00,2025-11-23 00:00:00,closure,permanent,Northern,Chehalis County,Manufacturing
